delivery_id,Date,Exam Name,Score,Passed,Points Earned,Points Available,Duration,Form,Form ID,Form Version ID
976bd17d-60ec-4db6-86d0-5629b7c3c583,56:07.1,Game of Thrones Season 1,61.9047619,,13,21,568,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
543eee8b-b505-4479-97c0-4d2380f763f5,06:54.3,Game of Thrones Season 1,33.33333333,,7,21,720,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
09454056-0a8a-46b1-a547-e3e0db9c289b,36:52.1,Game of Thrones Season 1,42.85714286,,9,21,708,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
9e2d5599-eeb3-4dab-a347-4cf676a0604b,50:00.2,Game of Thrones Season 1,57.14285714,,12,21,698,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
2964824d-a8c8-401b-906a-05e37c144a8d,34:27.1,Game of Thrones Season 1,33.33333333,,7,21,561,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
d29a767f-6f0a-4192-8d97-591cb27b04e7,53:02.5,Game of Thrones Season 1,52.38095238,,11,21,1836,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
64590c3f-3aee-451b-8d47-76d84c17c082,45:02.2,Game of Thrones Season 1,14.28571429,,3,21,295,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
b3c3c36d-7677-4262-914c-a50339f858dc,21:13.8,Game of Thrones Season 1,42.85714286,,9,21,644,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
04c49fad-834f-413e-bebe-2474b65f1023,22:25.7,Game of Thrones Season 1,23.80952381,,5,21,388,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
5449fd12-e2cd-4138-b883-752396a7a287,40:20.1,Game of Thrones Season 1,61.9047619,,13,21,466,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
e63b93fb-bb75-4cc6-b356-3456b066be81,51:20.7,Game of Thrones Season 1,47.61904762,,10,21,801,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
